activity_date,workload_id,environment,business_driver,demand_index,traffic,transactions,queries,support_requests,ai_requests,api_requests,active_customers,revenue
2025-07-02,checkout-prod,prod,transactions,0.92016,132503.01,11041.92,2650.06,795.02,1987.55,530012.04,18550.42,861269.57
2025-07-02,recommendations-prod,prod,ai_requests,1.070906,115657.83,5204.6,2313.16,693.95,9638.15,462631.33,16192.1,405958.99
2025-07-02,shared-platform-nonprod,nonprod,traffic,1.075078,56441.61,2539.87,1128.83,338.65,846.62,225766.44,7901.83,198110.06
2025-07-02,shared-platform-prod,prod,traffic,0.885613,132841.97,5977.89,2656.84,797.05,1992.63,531367.86,18597.88,466275.3
2025-07-02,storefront-nonprod,nonprod,traffic,1.259976,52918.98,2381.35,1058.38,317.51,793.78,211675.92,7408.66,185745.62
2025-07-02,storefront-prod,prod,traffic,1.049783,125973.91,5668.83,2519.48,755.84,1889.61,503895.64,17636.35,442168.43
2025-07-02,support-nonprod,nonprod,support_requests,0.810329,8168.12,367.57,163.36,680.68,122.52,32672.48,1143.54,28670.1
2025-07-02,support-prod,prod,support_requests,0.932265,26849.22,1208.21,536.98,2237.43,402.74,107396.88,3758.89,94240.76
2025-07-03,analytics-nonprod,nonprod,queries,1.2569,42231.83,1900.43,3519.32,253.39,633.48,168927.32,5912.46,148233.72
2025-07-03,analytics-prod,prod,queries,0.940954,90331.59,4064.92,7527.63,541.99,1354.97,361326.37,12646.42,317063.89
2025-07-03,checkout-nonprod,nonprod,transactions,0.944519,47603.74,3966.98,952.07,285.62,714.06,190414.96,6664.52,309424.31
2025-07-03,checkout-prod,prod,transactions,1.140703,164261.16,13688.43,3285.22,985.57,2463.92,657044.64,22996.56,1067697.55
2025-07-03,recommendations-prod,prod,ai_requests,0.894792,96637.52,4348.69,1932.75,579.83,8053.13,386550.09,13529.25,339197.7
2025-07-03,shared-platform-nonprod,nonprod,traffic,1.154859,60630.09,2728.35,1212.6,363.78,909.45,242520.35,8488.21,212811.61
2025-07-03,shared-platform-prod,prod,traffic,1.185757,177863.5,8003.86,3557.27,1067.18,2667.95,711454.0,24900.89,624300.88
2025-07-03,storefront-nonprod,nonprod,traffic,1.106207,46460.69,2090.73,929.21,278.76,696.91,185842.76,6504.5,163077.02
2025-07-03,storefront-prod,prod,traffic,1.113423,133610.73,6012.48,2672.21,801.66,2004.16,534442.92,18705.5,468973.66
2025-07-03,support-nonprod,nonprod,support_requests,1.152967,11621.9,522.99,232.44,968.49,174.33,46487.62,1627.07,40792.88
2025-07-03,support-prod,prod,support_requests,0.92468,26630.79,1198.39,532.62,2219.23,399.46,106523.17,3728.31,93474.08
2025-07-04,analytics-nonprod,nonprod,queries,0.938434,31531.37,1418.91,2627.61,189.19,472.97,126125.49,4414.39,110675.12
2025-07-04,analytics-prod,prod,queries,1.10159,105752.67,4758.87,8812.72,634.52,1586.29,423010.68,14805.37,371191.87
2025-07-04,checkout-nonprod,nonprod,transactions,1.068085,53831.46,4485.96,1076.63,322.99,807.47,215325.85,7536.4,349904.5
2025-07-04,checkout-prod,prod,transactions,1.167025,168051.63,14004.3,3361.03,1008.31,2520.77,672206.5,23527.23,1092335.57
2025-07-04,recommendations-prod,prod,ai_requests,0.964887,104207.77,4689.35,2084.16,625.25,8683.98,416831.08,14589.09,365769.27
2025-07-04,shared-platform-nonprod,nonprod,traffic,1.136418,59661.95,2684.79,1193.24,357.97,894.93,238647.81,8352.67,209413.45
2025-07-04,shared-platform-prod,prod,traffic,0.99288,148931.94,6701.94,2978.64,893.59,2233.98,595727.76,20850.47,522751.11
2025-07-04,storefront-nonprod,nonprod,traffic,1.17167,49210.13,2214.46,984.2,295.26,738.15,196840.5,6889.42,172727.54
2025-07-04,storefront-prod,prod,traffic,1.019253,122310.32,5503.96,2446.21,733.86,1834.65,489241.26,17123.44,429309.21
2025-07-04,support-nonprod,nonprod,support_requests,1.238364,12482.71,561.72,249.65,1040.23,187.24,49930.82,1747.58,43814.3
2025-07-04,support-prod,prod,support_requests,1.047082,30155.95,1357.02,603.12,2513.0,452.34,120623.8,4221.83,105847.38
2025-07-05,analytics-nonprod,nonprod,queries,0.355082,11930.76,536.88,994.23,71.58,178.96,47723.02,1670.31,41876.95
2025-07-05,analytics-prod,prod,queries,1.079864,103666.93,4665.01,8638.91,622.0,1555.0,414667.71,14513.37,363870.91
2025-07-05,checkout-nonprod,nonprod,transactions,0.403772,20350.09,1695.84,407.0,122.1,305.25,81400.37,2849.01,132275.6
2025-07-05,checkout-prod,prod,transactions,0.758877,109278.28,9106.52,2185.57,655.67,1639.17,437113.11,15298.96,710308.8
2025-07-05,recommendations-prod,prod,ai_requests,0.884316,95506.11,4297.77,1910.12,573.04,7958.84,382024.42,13370.85,335226.43
2025-07-05,shared-platform-nonprod,nonprod,traffic,0.3932,20643.0,928.93,412.86,123.86,309.64,82571.99,2890.02,72456.92
2025-07-05,shared-platform-prod,prod,traffic,0.847714,127157.1,5722.07,2543.14,762.94,1907.36,508628.41,17801.99,446321.43
2025-07-05,storefront-nonprod,nonprod,traffic,0.423502,17787.09,800.42,355.74,106.72,266.81,71148.36,2490.19,62432.68
2025-07-05,storefront-prod,prod,traffic,0.991621,118994.53,5354.75,2379.89,713.97,1784.92,475978.13,16659.23,417670.81
2025-07-05,support-nonprod,nonprod,support_requests,0.436304,4397.94,197.91,87.96,366.49,65.97,17591.76,615.71,15436.77
2025-07-05,support-prod,prod,support_requests,0.979189,28200.64,1269.03,564.01,2350.05,423.01,112802.57,3948.09,98984.26
2025-07-06,analytics-nonprod,nonprod,queries,0.399094,13409.54,603.43,1117.46,80.46,201.14,53638.18,1877.34,47067.5
2025-07-06,analytics-prod,prod,queries,0.963714,92516.55,4163.24,7709.71,555.1,1387.75,370066.19,12952.32,324733.08
2025-07-06,checkout-nonprod,nonprod,transactions,0.365364,18414.35,1534.53,368.29,110.49,276.22,73657.41,2578.01,119693.29
2025-07-06,checkout-prod,prod,transactions,0.820326,118127.0,9843.92,2362.54,708.76,1771.9,472508.0,16537.78,767825.5
2025-07-06,recommendations-prod,prod,ai_requests,1.068264,115372.55,5191.76,2307.45,692.24,9614.38,461490.18,16152.16,404957.63
2025-07-06,shared-platform-nonprod,nonprod,traffic,0.38042,19972.04,898.74,399.44,119.83,299.58,79888.16,2796.09,70101.86
2025-07-06,shared-platform-prod,prod,traffic,0.934402,140160.28,6307.21,2803.21,840.96,2102.4,560641.11,19622.44,491962.58
2025-07-06,storefront-nonprod,nonprod,traffic,0.417855,17549.92,789.75,351.0,105.3,263.25,70199.69,2456.99,61600.23
2025-07-06,storefront-prod,prod,traffic,0.977441,117292.94,5278.18,2345.86,703.76,1759.39,469171.77,16421.01,411698.23
2025-07-06,support-nonprod,nonprod,support_requests,0.380923,3839.71,172.79,76.79,319.98,57.6,15358.83,537.56,13477.37
2025-07-06,support-prod,prod,support_requests,0.767552,22105.5,994.75,442.11,1842.13,331.58,88422.01,3094.77,77590.31
2025-07-07,analytics-nonprod,nonprod,queries,1.049674,35269.04,1587.11,2939.09,211.61,529.04,141076.15,4937.67,123794.32
2025-07-07,analytics-prod,prod,queries,0.89335,85761.58,3859.27,7146.8,514.57,1286.42,343046.33,12006.62,301023.16
2025-07-07,checkout-nonprod,nonprod,transactions,1.222705,61624.32,5135.36,1232.49,369.75,924.36,246497.28,8627.4,400558.08
2025-07-07,checkout-prod,prod,transactions,1.058583,152435.92,12702.99,3048.72,914.62,2286.54,609743.68,21341.03,990833.48
2025-07-07,recommendations-prod,prod,ai_requests,1.147604,123941.25,5577.36,2478.83,743.65,10328.44,495765.01,17351.78,435033.8
2025-07-07,shared-platform-nonprod,nonprod,traffic,1.013742,53221.44,2394.96,1064.43,319.33,798.32,212885.74,7451.0,186807.24
2025-07-07,shared-platform-prod,prod,traffic,1.077746,161661.84,7274.78,3233.24,969.97,2424.93,646647.37,22632.66,567433.07
2025-07-07,storefront-nonprod,nonprod,traffic,1.12219,47131.98,2120.94,942.64,282.79,706.98,188527.91,6598.48,165433.24
2025-07-07,storefront-prod,prod,traffic,1.144448,137333.74,6180.02,2746.67,824.0,2060.01,549334.94,19226.72,482041.41
2025-07-07,support-nonprod,nonprod,support_requests,1.048245,10566.31,475.48,211.33,880.53,158.49,42265.23,1479.28,37087.74
2025-07-07,support-prod,prod,support_requests,1.020154,29380.43,1322.12,587.61,2448.37,440.71,117521.71,4113.26,103125.3
2025-07-08,analytics-nonprod,nonprod,queries,0.911659,30631.75,1378.43,2552.65,183.79,459.48,122526.98,4288.44,107517.43
2025-07-08,analytics-prod,prod,queries,0.885466,85004.77,3825.21,7083.73,510.03,1275.07,340019.07,11900.67,298366.74
2025-07-08,checkout-nonprod,nonprod,transactions,1.155352,58229.76,4852.48,1164.6,349.38,873.45,232919.05,8152.17,378493.46
2025-07-08,checkout-prod,prod,transactions,1.003648,144525.27,12043.77,2890.51,867.15,2167.88,578101.07,20233.54,939414.24
2025-07-08,recommendations-prod,prod,ai_requests,1.077678,116389.2,5237.51,2327.78,698.34,9699.1,465556.81,16294.49,408526.1
2025-07-08,shared-platform-nonprod,nonprod,traffic,1.311855,68872.4,3099.26,1377.45,413.23,1033.09,275489.59,9642.14,241742.12
2025-07-08,shared-platform-prod,prod,traffic,0.982377,147356.62,6631.05,2947.13,884.14,2210.35,589426.49,20629.93,517221.74
2025-07-08,storefront-nonprod,nonprod,traffic,1.120071,47042.97,2116.93,940.86,282.26,705.64,188171.88,6586.02,165120.82
2025-07-08,storefront-prod,prod,traffic,1.148471,137816.47,6201.74,2756.33,826.9,2067.25,551265.9,19294.31,483735.82
2025-07-08,support-nonprod,nonprod,support_requests,1.222587,12323.68,554.57,246.47,1026.97,184.86,49294.7,1725.31,43256.1
2025-07-08,support-prod,prod,support_requests,1.044229,30073.8,1353.32,601.48,2506.15,451.11,120295.18,4210.33,105559.02
2025-07-09,analytics-nonprod,nonprod,queries,1.095646,36813.7,1656.62,3067.81,220.88,552.21,147254.82,5153.92,129216.1
2025-07-09,analytics-prod,prod,queries,0.878389,84325.3,3794.64,7027.11,505.95,1264.88,337301.22,11805.54,295981.82
2025-07-09,checkout-nonprod,nonprod,transactions,1.153278,58125.23,4843.77,1162.5,348.75,871.88,232500.9,8137.53,377813.97
2025-07-09,checkout-prod,prod,transactions,1.040368,149812.92,12484.41,2996.26,898.88,2247.19,599251.69,20973.81,973783.99
2025-07-09,recommendations-prod,prod,ai_requests,0.886512,95743.32,4308.45,1914.87,574.46,7978.61,382973.26,13404.06,336059.04
2025-07-09,shared-platform-nonprod,nonprod,traffic,0.934969,49085.85,2208.86,981.72,294.52,736.29,196343.42,6872.02,172291.35
2025-07-09,shared-platform-prod,prod,traffic,1.11412,167117.95,7520.31,3342.36,1002.71,2506.77,668471.82,23396.51,586584.02
2025-07-09,storefront-nonprod,nonprod,traffic,1.109544,46600.86,2097.04,932.02,279.61,699.01,186403.45,6524.12,163569.03
2025-07-09,storefront-prod,prod,traffic,0.858306,102996.73,4634.85,2059.93,617.98,1544.95,411986.93,14419.54,361518.53
2025-07-09,support-nonprod,nonprod,support_requests,1.275676,12858.81,578.65,257.18,1071.57,192.88,51435.25,1800.23,45134.44
2025-07-09,support-prod,prod,support_requests,1.015897,29257.84,1316.6,585.16,2438.15,438.87,117031.37,4096.1,102695.03
2025-07-10,analytics-nonprod,nonprod,queries,1.117428,37545.58,1689.55,3128.8,225.27,563.18,150182.31,5256.38,131784.98
2025-07-10,analytics-prod,prod,queries,0.843222,80949.35,3642.72,6745.78,485.7,1214.24,323797.42,11332.91,284132.23
2025-07-10,checkout-nonprod,nonprod,transactions,1.114141,56152.73,4679.39,1123.05,336.92,842.29,224610.92,7861.38,364992.75
2025-07-10,checkout-prod,prod,transactions,0.941035,135509.02,11292.42,2710.18,813.05,2032.64,542036.07,18971.26,880808.62
2025-07-10,recommendations-prod,prod,ai_requests,1.004202,108453.84,4880.42,2169.08,650.72,9037.82,433815.37,15183.54,380672.98
2025-07-10,shared-platform-nonprod,nonprod,traffic,1.043006,54757.82,2464.1,1095.16,328.55,821.37,219031.29,7666.1,192199.96
2025-07-10,shared-platform-prod,prod,traffic,0.97203,145804.43,6561.2,2916.09,874.83,2187.07,583217.71,20412.62,511773.54
2025-07-10,storefront-nonprod,nonprod,traffic,0.913849,38381.64,1727.17,767.63,230.29,575.72,153526.57,5373.43,134719.56
2025-07-10,storefront-prod,prod,traffic,0.796059,95527.07,4298.72,1910.54,573.16,1432.91,382108.29,13373.79,335300.02
2025-07-10,support-nonprod,nonprod,support_requests,1.194369,12039.24,541.77,240.78,1003.27,180.59,48156.98,1685.49,42257.75
2025-07-10,support-prod,prod,support_requests,0.945523,27231.07,1225.4,544.62,2269.26,408.47,108924.29,3812.35,95581.07
2025-07-11,analytics-nonprod,nonprod,queries,1.053529,35398.58,1592.94,2949.88,212.39,530.98,141594.33,4955.8,124249.02
2025-07-11,analytics-prod,prod,queries,1.056254,101400.36,4563.02,8450.03,608.4,1521.01,405601.42,14196.05,355915.25
2025-07-11,checkout-nonprod,nonprod,transactions,1.37838,69470.33,5789.19,1389.41,416.82,1042.05,277881.31,9725.85,451557.13
2025-07-11,checkout-prod,prod,transactions,1.158491,166822.64,13901.89,3336.45,1000.94,2502.34,667290.57,23355.17,1084347.17
2025-07-11,recommendations-prod,prod,ai_requests,0.953187,102944.23,4632.49,2058.88,617.67,8578.69,411776.93,14412.19,361334.26
2025-07-11,shared-platform-nonprod,nonprod,traffic,1.044331,54827.38,2467.23,1096.55,328.96,822.41,219309.51,7675.83,192444.09
2025-07-11,shared-platform-prod,prod,traffic,1.123035,168455.25,7580.49,3369.11,1010.73,2526.83,673821.01,23583.74,591277.93
2025-07-11,storefront-nonprod,nonprod,traffic,1.133916,47624.46,2143.1,952.49,285.75,714.37,190497.85,6667.42,167161.87
2025-07-11,storefront-prod,prod,traffic,1.175625,141074.96,6348.37,2821.5,846.45,2116.12,564299.83,19750.49,495173.1
2025-07-11,support-nonprod,nonprod,support_requests,0.931095,9385.43,422.34,187.71,782.12,140.78,37541.74,1313.96,32942.87
2025-07-11,support-prod,prod,support_requests,0.977112,28140.82,1266.34,562.82,2345.07,422.11,112563.3,3939.72,98774.29
2025-07-12,analytics-nonprod,nonprod,queries,0.374606,12586.75,566.4,1048.9,75.52,188.8,50346.98,1762.14,44179.48
2025-07-12,analytics-prod,prod,queries,1.097696,105378.86,4742.05,8781.57,632.27,1580.68,421515.43,14753.04,369879.79
2025-07-12,checkout-nonprod,nonprod,transactions,0.35599,17941.92,1495.16,358.84,107.65,269.13,71767.68,2511.87,116622.47
2025-07-12,checkout-prod,prod,transactions,1.052895,151616.89,12634.74,3032.34,909.7,2274.25,606467.57,21226.36,985509.79
2025-07-12,recommendations-prod,prod,ai_requests,1.064569,114973.41,5173.8,2299.47,689.84,9581.12,459893.63,16096.28,403556.66
2025-07-12,shared-platform-nonprod,nonprod,traffic,0.382916,20103.1,904.64,402.06,120.62,301.55,80412.41,2814.43,70561.89
2025-07-12,shared-platform-prod,prod,traffic,1.011339,151700.85,6826.54,3034.02,910.21,2275.51,606803.4,21238.12,532469.99
2025-07-12,storefront-nonprod,nonprod,traffic,0.310079,13023.3,586.05,260.47,78.14,195.35,52093.2,1823.26,45711.78
2025-07-12,storefront-prod,prod,traffic,1.105984,132718.1,5972.31,2654.36,796.31,1990.77,530872.39,18580.53,465840.52
2025-07-12,support-nonprod,nonprod,support_requests,0.373786,3767.77,169.55,75.36,313.98,56.52,15071.07,527.49,13224.86
2025-07-12,support-prod,prod,support_requests,0.93893,27041.18,1216.85,540.82,2253.43,405.62,108164.71,3785.77,94914.54
2025-07-13,analytics-nonprod,nonprod,queries,0.35371,11884.67,534.81,990.39,71.31,178.27,47538.68,1663.85,41715.19
2025-07-13,analytics-prod,prod,queries,0.957527,91922.59,4136.52,7660.22,551.54,1378.84,367690.38,12869.16,322648.3
2025-07-13,checkout-nonprod,nonprod,transactions,0.286891,14459.28,1204.94,289.19,86.76,216.89,57837.13,2024.3,93985.33
2025-07-13,checkout-prod,prod,transactions,0.966699,139204.7,11600.39,2784.09,835.23,2088.07,556818.81,19488.66,904830.57
2025-07-13,recommendations-prod,prod,ai_requests,1.104719,119309.62,5368.93,2386.19,715.86,9942.47,477238.48,16703.35,418776.77
2025-07-13,shared-platform-nonprod,nonprod,traffic,0.346536,18193.14,818.69,363.86,109.16,272.9,72772.55,2547.04,63857.91
2025-07-13,shared-platform-prod,prod,traffic,0.952084,142812.57,6426.57,2856.25,856.88,2142.19,571250.29,19993.76,501272.13
2025-07-13,storefront-nonprod,nonprod,traffic,0.33168,13930.57,626.88,278.61,83.58,208.96,55722.28,1950.28,48896.3
2025-07-13,storefront-prod,prod,traffic,0.848516,101821.93,4581.99,2036.44,610.93,1527.33,407287.73,14255.07,357394.99
2025-07-13,support-nonprod,nonprod,support_requests,0.384624,3877.01,174.47,77.54,323.08,58.16,15508.02,542.78,13608.29
2025-07-13,support-prod,prod,support_requests,0.969577,27923.82,1256.57,558.48,2326.98,418.86,111695.26,3909.33,98012.59
2025-07-14,analytics-nonprod,nonprod,queries,1.244811,41825.65,1882.15,3485.47,250.95,627.38,167302.59,5855.59,146808.02
2025-07-14,analytics-prod,prod,queries,0.794804,76301.19,3433.55,6358.43,457.81,1144.52,305204.78,10682.17,267817.19
2025-07-14,checkout-nonprod,nonprod,transactions,1.263772,63694.1,5307.84,1273.88,382.16,955.41,254776.38,8917.17,414011.62
2025-07-14,checkout-prod,prod,transactions,1.193463,171858.66,14321.56,3437.17,1031.15,2577.88,687434.65,24060.21,1117081.31
2025-07-14,recommendations-prod,prod,ai_requests,1.183358,127802.7,5751.12,2556.05,766.82,10650.22,511210.8,17892.38,448587.47
2025-07-14,shared-platform-nonprod,nonprod,traffic,1.082594,56836.17,2557.63,1136.72,341.02,852.54,227344.67,7957.06,199494.95
2025-07-14,shared-platform-prod,prod,traffic,0.988689,148303.31,6673.65,2966.07,889.82,2224.55,593213.25,20762.46,520544.62
2025-07-14,storefront-nonprod,nonprod,traffic,1.218984,51197.34,2303.88,1023.95,307.18,767.96,204789.36,7167.63,179702.67
2025-07-14,storefront-prod,prod,traffic,0.833943,100073.17,4503.29,2001.46,600.44,1501.1,400292.7,14010.24,351256.84
2025-07-14,support-nonprod,nonprod,support_requests,0.838984,8456.96,380.56,169.14,704.75,126.85,33827.83,1183.97,29683.92
2025-07-14,support-prod,prod,support_requests,1.120937,32282.99,1452.73,645.66,2690.25,484.24,129131.97,4519.62,113313.3
2025-07-15,analytics-nonprod,nonprod,queries,0.93567,31438.5,1414.73,2619.87,188.63,471.58,125753.99,4401.39,110349.13
2025-07-15,analytics-prod,prod,queries,1.018875,97811.98,4401.54,8151.0,586.87,1467.18,391247.93,13693.68,343320.06
2025-07-15,checkout-nonprod,nonprod,transactions,0.986755,49732.44,4144.37,994.65,298.39,745.99,198929.75,6962.54,323260.85
2025-07-15,checkout-prod,prod,transactions,1.102622,158777.62,13231.47,3175.55,952.67,2381.66,635110.47,22228.87,1032054.51
2025-07-15,recommendations-prod,prod,ai_requests,0.952147,102831.84,4627.43,2056.64,616.99,8569.32,411327.37,14396.46,360939.77
2025-07-15,shared-platform-nonprod,nonprod,traffic,1.021558,53631.8,2413.43,1072.64,321.79,804.48,214527.21,7508.45,188247.63
2025-07-15,shared-platform-prod,prod,traffic,1.061598,159239.66,7165.78,3184.79,955.44,2388.59,636958.63,22293.55,558931.2
2025-07-15,storefront-nonprod,nonprod,traffic,1.153057,48428.39,2179.28,968.57,290.57,726.43,193713.56,6779.97,169983.65
2025-07-15,storefront-prod,prod,traffic,1.05493,126591.59,5696.62,2531.83,759.55,1898.87,506366.36,17722.82,444336.48
2025-07-15,support-nonprod,nonprod,support_requests,1.102867,11116.9,500.26,222.34,926.41,166.75,44467.61,1556.37,39020.33
2025-07-15,support-prod,prod,support_requests,1.186838,34180.94,1538.14,683.62,2848.41,512.71,136723.78,4785.33,119975.11
2025-07-16,analytics-nonprod,nonprod,queries,0.971525,32643.24,1468.95,2720.27,195.86,489.65,130572.95,4570.05,114577.77
2025-07-16,analytics-prod,prod,queries,1.022299,98140.73,4416.33,8178.39,588.84,1472.11,392562.92,13739.7,344473.96
2025-07-16,checkout-nonprod,nonprod,transactions,1.05605,53224.94,4435.41,1064.5,319.35,798.37,212899.74,7451.49,345962.08
2025-07-16,checkout-prod,prod,transactions,0.94033,135407.45,11283.95,2708.15,812.44,2031.11,541629.79,18957.04,880148.41
2025-07-16,recommendations-prod,prod,ai_requests,0.750396,81042.8,3646.93,1620.86,486.26,6753.57,324171.2,11345.99,284460.23
2025-07-16,shared-platform-nonprod,nonprod,traffic,0.862221,45266.58,2037.0,905.33,271.6,679.0,181066.32,6337.32,158885.7
2025-07-16,shared-platform-prod,prod,traffic,1.113625,167043.78,7516.97,3340.88,1002.26,2505.66,668175.1,23386.13,586323.65
2025-07-16,storefront-nonprod,nonprod,traffic,1.246174,52339.3,2355.27,1046.79,314.04,785.09,209357.21,7327.5,183710.95
2025-07-16,storefront-prod,prod,traffic,1.165664,139879.66,6294.58,2797.59,839.28,2098.19,559518.65,19583.15,490977.61
2025-07-16,support-nonprod,nonprod,support_requests,1.369368,13803.23,621.15,276.06,1150.27,207.05,55212.91,1932.45,48449.33
2025-07-16,support-prod,prod,support_requests,1.006288,28981.1,1304.15,579.62,2415.09,434.72,115924.39,4057.35,101723.65
2025-07-17,analytics-nonprod,nonprod,queries,1.043842,35073.1,1578.29,2922.76,210.44,526.1,140292.41,4910.23,123106.59
2025-07-17,analytics-prod,prod,queries,1.34059,128696.67,5791.35,10724.72,772.18,1930.45,514786.66,18017.53,451725.3
2025-07-17,checkout-nonprod,nonprod,transactions,1.21986,61480.95,5123.41,1229.62,368.89,922.21,245923.81,8607.33,399626.2
2025-07-17,checkout-prod,prod,transactions,1.089632,156907.04,13075.59,3138.14,941.44,2353.61,627628.18,21966.99,1019895.79
2025-07-17,recommendations-prod,prod,ai_requests,0.843289,91075.24,4098.39,1821.5,546.45,7589.6,364300.95,12750.53,319674.09
2025-07-17,shared-platform-nonprod,nonprod,traffic,1.043663,54792.3,2465.65,1095.85,328.75,821.88,219169.19,7670.92,192320.96
2025-07-17,shared-platform-prod,prod,traffic,1.3351,200264.97,9011.92,4005.3,1201.59,3003.97,801059.89,28037.1,702930.06
2025-07-17,storefront-nonprod,nonprod,traffic,1.00903,42379.25,1907.07,847.59,254.28,635.69,169517.0,5933.1,148751.17
2025-07-17,storefront-prod,prod,traffic,1.293435,155212.21,6984.55,3104.24,931.27,2328.18,620848.82,21729.71,544794.84
2025-07-17,support-nonprod,nonprod,support_requests,1.125675,11346.8,510.61,226.94,945.57,170.2,45387.2,1588.55,39827.27
2025-07-17,support-prod,prod,support_requests,0.986937,28423.8,1279.07,568.48,2368.65,426.36,113695.2,3979.33,99767.54
2025-07-18,analytics-nonprod,nonprod,queries,1.158429,38923.21,1751.54,3243.6,233.54,583.85,155692.84,5449.25,136620.46
2025-07-18,analytics-prod,prod,queries,0.875232,84022.26,3781.0,7001.86,504.13,1260.33,336089.05,11763.12,294918.15
2025-07-18,checkout-nonprod,nonprod,transactions,0.860122,43350.15,3612.51,867.0,260.1,650.25,173400.61,6069.02,281775.98
2025-07-18,checkout-prod,prod,transactions,0.929159,133798.85,11149.9,2675.98,802.79,2006.98,535195.4,18731.84,869692.52
2025-07-18,recommendations-prod,prod,ai_requests,1.236377,133528.73,6008.79,2670.57,801.17,11127.39,534114.9,18694.02,468685.83
2025-07-18,shared-platform-nonprod,nonprod,traffic,0.913495,47958.47,2158.13,959.17,287.75,719.38,191833.89,6714.19,168334.24
2025-07-18,shared-platform-prod,prod,traffic,1.166865,175029.74,7876.34,3500.59,1050.18,2625.45,700118.96,24504.16,614354.39
2025-07-18,storefront-nonprod,nonprod,traffic,0.907847,38129.56,1715.83,762.59,228.78,571.94,152518.25,5338.14,133834.77
2025-07-18,storefront-prod,prod,traffic,1.109097,133091.6,5989.12,2661.83,798.55,1996.37,532366.4,18632.82,467151.52
2025-07-18,support-nonprod,nonprod,support_requests,1.244084,12540.37,564.32,250.81,1045.03,188.11,50161.48,1755.65,44016.7
2025-07-18,support-prod,prod,support_requests,1.098679,31641.96,1423.89,632.84,2636.83,474.63,126567.86,4429.88,111063.3
2025-07-19,analytics-nonprod,nonprod,queries,0.304856,10243.15,460.94,853.6,61.46,153.65,40972.61,1434.04,35953.46
2025-07-19,analytics-prod,prod,queries,0.915145,87853.92,3953.43,7321.16,527.12,1317.81,351415.68,12299.55,308367.26
2025-07-19,checkout-nonprod,nonprod,transactions,0.313979,15824.53,1318.71,316.49,94.95,237.37,63298.14,2215.43,102859.47
2025-07-19,checkout-prod,prod,transactions,1.06569,153459.38,12788.28,3069.19,920.76,2301.89,613837.51,21484.31,997485.95
2025-07-19,recommendations-prod,prod,ai_requests,0.913984,98710.29,4441.96,1974.21,592.26,8225.86,394841.16,13819.44,346473.12
2025-07-19,shared-platform-nonprod,nonprod,traffic,0.296307,15556.13,700.03,311.12,93.34,233.34,62224.53,2177.86,54602.02
2025-07-19,shared-platform-prod,prod,traffic,1.078237,161735.56,7278.1,3234.71,970.41,2426.03,646942.23,22642.98,567691.81
2025-07-19,storefront-nonprod,nonprod,traffic,0.354487,14888.44,669.98,297.77,89.33,223.33,59553.77,2084.38,52258.43
2025-07-19,storefront-prod,prod,traffic,0.91723,110067.55,4953.04,2201.35,660.41,1651.01,440270.21,15409.46,386337.11
2025-07-19,support-nonprod,nonprod,support_requests,0.372961,3759.44,169.17,75.19,313.29,56.39,15037.78,526.32,13195.65
2025-07-19,support-prod,prod,support_requests,1.032012,29721.94,1337.49,594.44,2476.83,445.83,118887.74,4161.07,104323.99
